trasaction_id,product_name,product_qty,product_id,product_unit_price,product_weight,product_total_price
103,Keen's Cheddar,1,81,$35.00,500.0000,$35.00
103,Colston Basset Shropshire,1,83,$17.50,250.0000,$17.50
103,Reypenaer V.S.O.P. Gouda,1,85,$27.50,250.0000,$27.50
103,Sharpham Rustic,1,87,$18.75,250.0000,$18.75
104,Colston Bassett Stilton,1,82,$17.50,250.0000,$17.50
104,Reypenaer V.S.O.P. Gouda,1,85,$27.50,250.0000,$27.50
104,Dorstone Goat's Cheese,1,89,$15.00,150.0000,$15.00
105,Dorstone Goat's Cheese,1,89,$15.00,150.0000,$15.00
106,Wigmore,1,88,$12.00,100.0000,$12.00
106,Dorstone Goat's Cheese,1,89,$15.00,100.0000,$15.00
107,Waterloo,2,79,$6.00,100.0000,$12.00
107,Wigmore,3,88,$6.00,100.0000,$18.00
107,Brie de Meaux,2,90,$6.50,100.0000,$13.00
108,Keen's Cheddar,1,81,$17.50,250.0000,$17.50
108,Colston Bassett Stilton,1,82,$17.50,250.0000,$17.50
108,Wigmore,1,88,$12.00,200.0000,$12.00
108,Brie de Meaux,1,90,$13.00,200.0000,$13.00
109,Westcombe Cheddar,1,80,$17.50,250.0000,$17.50
109,Reypenaer V.S.O.P. Gouda,1,85,$27.50,250.0000,$27.50
110,Reypenaer V.S.O.P. Gouda,1,85,$27.50,100.0000,$27.50
110,Brie de Meaux,1,90,$13.00,200.0000,$13.00
111,Colston Basset Shropshire,1,83,$17.50,250.0000,$17.50
111,Reypenaer V.S.O.P. Gouda,1,85,$27.50,250.0000,$27.50
111,Brie de Meaux Dongé,1,90,$15.00,200.0000,$15.00
113,Cornish Blue,1,84,$20.00,250.0000,$20.00
113,Cornish Yarg,1,86,$18.75,250.0000,$18.75
113,Dorstone Goat's Cheese,1,89,$15.00,150.0000,$15.00
114,Waterloo,1,79,$8.00,200.0000,$8.00
114,Brie de Meaux Dongé,1,90,$7.00,200.0000,$7.00
115,Brie de Meaux Dongé,2,90,$7.50,100.0000,$15.00
116,Waterloo,2,79,$6.00,100.0000,$12.00
118,Camembert Dom St. Loup,1,96,$25.00,250.0000,$25.00
118,St Maure de Touraine,1,100,$37.50,250.0000,$37.50
119,Roquefort (100g),1,0,$9.35,0.0000,$9.35
119,Camembert Dom St. Loup (125g),1,0,$10.60,0.0000,$10.60
119,Wigmore (100g),1,0,$8.00,0.0000,$8.00
119,Keens Cheddar (100g),1,0,$5.95,0.0000,$5.95
119,Comte (100g),1,0,$6.80,0.0000,$6.80
119,Gouda V.S.O.P,1,0,$9.35,0.0000,$9.35
119,Colston Bassett Stilton (250g),1,0,$10.00,0.0000,$10.00
122,Colston Bassett Stilton,1,82,$10.00,250.0000,$10.00
122,Colston Basset Shropshire,1,83,$10.00,250.0000,$10.00
122,Cornish Yarg,1,86,$10.00,250.0000,$10.00
122,Red Hot Chilli Crackers,2,115,$7.00,150.0000,$14.00
123,Colston Basset Shropshire,1,83,$10.00,250.0000,$10.00
124,Wookey Hole Cave Aged Cheddar,1,91,$15.00,250.0000,$15.00
124,Parmesan Reggiano,2,99,$20.00,250.0000,$40.00
124,Red Hot Chilli Crackers,1,115,$5.00,150.0000,$5.00
125,Colston Basset Shropshire,1,83,$12.50,250.0000,$12.50
127,Comté Marcel Petite,1,98,$20.00,250.0000,$20.00
127,Olive Oil and Sea Salt Crackers,1,104,$7.00,150.0000,$7.00
127,Gooseberry Fruit Purée for Cheese,1,112,$12.00,113.0000,$12.00
128,Tunworth,1,92,$10.00,100.0000,$10.00
128,Camembert Dom St. Loup,1,96,$25.00,250.0000,$25.00
128,St Maure de Touraine,1,100,$37.50,250.0000,$37.50
129,Waterloo,1,79,$9.00,100.0000,$9.00
129,Colston Basset Shropshire,1,83,$17.50,250.0000,$17.50
132,Olive Oil and Sea Salt Crackers,1,104,$7.00,150.0000,$7.00
132,French Selection Pack,1,116,$40.00,450.0000,$40.00
133,Keen's Cheddar,1,81,$10.00,250.0000,$10.00
133,Colston Bassett Stilton,1,82,$10.00,250.0000,$10.00
133,Brie de Meaux Dongé,1,90,$16.00,200.0000,$16.00
133,Chive Crackers,1,113,$5.00,150.0000,$5.00
134,Keen's Cheddar,1,81,$10.00,250.0000,$10.00
134,Colston Bassett Stilton,1,82,$10.00,250.0000,$10.00
134,Cornish Blue,1,84,$20.00,250.0000,$20.00
134,Reypenaer V.S.O.P. Gouda,1,85,$27.50,250.0000,$27.50
134,Von Mühlenen Premier Cru Gruyère,1,97,$27.50,250.0000,$27.50
134,Comté Marcel Petite,1,98,$20.00,250.0000,$20.00
134,Berkswell,1,101,$25.00,250.0000,$25.00
