transaction_id,product_id,product_name,product_qty,product_total_price
103,81,Keen's Cheddar,1,$35.00
103,83,Colston Basset Shropshire,1,$17.50
103,85,Reypenaer V.S.O.P. Gouda,1,$27.50
103,87,Sharpham Rustic,1,$18.75
104,82,Colston Bassett Stilton,1,$17.50
104,85,Reypenaer V.S.O.P. Gouda,1,$27.50
104,89,Dorstone Goat's Cheese,1,$15.00
105,89,Dorstone Goat's Cheese,1,$15.00
106,88,Wigmore,1,$12.00
106,89,Dorstone Goat's Cheese,1,$15.00
107,79,Waterloo,2,$12.00
107,88,Wigmore,3,$18.00
107,90,Brie de Meaux,2,$13.00
108,81,Keen's Cheddar,1,$17.50
108,82,Colston Bassett Stilton,1,$17.50
108,88,Wigmore,1,$12.00
108,90,Brie de Meaux,1,$13.00
109,80,Westcombe Cheddar,1,$17.50
109,85,Reypenaer V.S.O.P. Gouda,1,$27.50
110,85,Reypenaer V.S.O.P. Gouda,1,$27.50
110,90,Brie de Meaux,1,$13.00
111,83,Colston Basset Shropshire,1,$17.50
111,85,Reypenaer V.S.O.P. Gouda,1,$27.50
111,90,Brie de Meaux Dongé,1,$15.00
113,84,Cornish Blue,1,$20.00
113,86,Cornish Yarg,1,$18.75
113,89,Dorstone Goat's Cheese,1,$15.00
114,79,Waterloo,1,$8.00
114,90,Brie de Meaux Dongé,1,$7.00
115,90,Brie de Meaux Dongé,2,$15.00
116,79,Waterloo,2,$12.00
118,96,Camembert Dom St. Loup,1,$25.00
118,100,St Maure de Touraine,1,$37.50
119,0,Roquefort (100g),1,$9.35
119,0,Camembert Dom St. Loup (125g),1,$10.60
119,0,Wigmore (100g),1,$8.00
119,0,Keens Cheddar (100g),1,$5.95
119,0,Comte (100g),1,$6.80
119,0,Gouda V.S.O.P,1,$9.35
119,0,Colston Bassett Stilton (250g),1,$10.00
122,82,Colston Bassett Stilton,1,$10.00
122,83,Colston Basset Shropshire,1,$10.00
122,86,Cornish Yarg,1,$10.00
122,115,Red Hot Chilli Crackers,2,$14.00
123,83,Colston Basset Shropshire,1,$10.00
124,91,Wookey Hole Cave Aged Cheddar,1,$15.00
124,99,Parmesan Reggiano,2,$40.00
124,115,Red Hot Chilli Crackers,1,$5.00
125,83,Colston Basset Shropshire,1,$12.50
127,98,Comté Marcel Petite,1,$20.00
127,104,Olive Oil and Sea Salt Crackers,1,$7.00
127,112,Gooseberry Fruit Purée for Cheese,1,$12.00
128,92,Tunworth,1,$10.00
128,96,Camembert Dom St. Loup,1,$25.00
128,100,St Maure de Touraine,1,$37.50
129,79,Waterloo,1,$9.00
129,83,Colston Basset Shropshire,1,$17.50
132,104,Olive Oil and Sea Salt Crackers,1,$7.00
132,116,French Selection Pack,1,$40.00
133,81,Keen's Cheddar,1,$10.00
133,82,Colston Bassett Stilton,1,$10.00
133,90,Brie de Meaux Dongé,1,$16.00
133,113,Chive Crackers,1,$5.00
134,81,Keen's Cheddar,1,$10.00
134,82,Colston Bassett Stilton,1,$10.00
134,84,Cornish Blue,1,$20.00
134,85,Reypenaer V.S.O.P. Gouda,1,$27.50
134,97,Von Mühlenen Premier Cru Gruyère,1,$27.50
134,98,Comté Marcel Petite,1,$20.00
134,101,Berkswell,1,$25.00
135,82,Colston Bassett Stilton,1,$20.00
135,83,Colston Basset Shropshire,1,$20.00
136,115,Red Hot Chilli Crackers,1,$7.00
137,90,Brie de Meaux Dongé,1,$9.00
137,97,Von Mühlenen Premier Cru Gruyère,1,$27.50
138,85,Reypenaer V.S.O.P. Gouda,1,$27.50
138,88,Wigmore,1,$10.00
138,90,Brie de Meaux Dongé,1,$9.00
138,97,Von Mühlenen Premier Cru Gruyère,1,$27.50
138,98,Comté Marcel Petite,1,$20.00
138,108,Fine English Bath Ovals,2,$14.00
139,81,Keen's Cheddar,1,$17.50
139,84,Cornish Blue,1,$20.00
139,85,Reypenaer V.S.O.P. Gouda,1,$27.50
139,96,Camembert Dom St. Loup,1,$25.00
139,100,St Maure de Touraine,1,$37.50
139,113,Chive Crackers,1,$7.00
140,82,Colston Bassett Stilton,1,$17.50
140,85,Reypenaer V.S.O.P. Gouda,1,$27.50
141,84,Cornish Blue,1,$10.00
141,85,Reypenaer V.S.O.P. Gouda,1,$27.50
142,85,Reypenaer V.S.O.P. Gouda,2,$55.00
142,96,Camembert Dom St. Loup,1,$13.00
142,97,Von Mühlenen Premier Cru Gruyère,1,$27.50
142,98,Comté Marcel Petite,1,$20.00
142,121,Cabernet Paste,1,$9.00
142,125,Fine Cheese Co. Cheddar,3,$15.00
144,92,Tunworth,1,$15.00
144,93,Baronet,1,$10.00
144,108,Fine English Bath Ovals,1,$7.00
144,113,Chive Crackers,2,$6.00
144,115,Red Hot Chilli Crackers,2,$6.00
145,84,Cornish Blue,1,$20.00
145,85,Reypenaer V.S.O.P. Gouda,1,$27.50
145,113,Chive Crackers,1,$7.00
145,122,Quince Paste,1,$9.00
146,92,Tunworth,1,$12.50
146,93,Baronet,1,$5.00
146,100,St Maure de Touraine,1,$20.00
146,113,Chive Crackers,1,$2.50
147,83,Colston Basset Shropshire,1,$17.50
147,88,Wigmore,1,$10.00
147,97,Von Mühlenen Premier Cru Gruyère,1,$27.50
147,100,St Maure de Touraine,1,$20.00
150,92,Tunworth,1,$25.00
150,93,Baronet,1,$10.00
150,95,Gorgonzola Dolce,1,$20.00
150,96,Camembert Dom St. Loup,1,$25.00
150,100,St Maure de Touraine,1,$37.50
151,84,Cornish Blue,1,$20.00
151,88,Wigmore,1,$20.00
151,93,Baronet,1,$10.00
151,96,Camembert Dom St. Loup,1,$25.00
154,127,Mondovino Black Olive Crackers,1,$7.00
154,163,UK Favourites Selection Pack,1,$60.00
158,84,Cornish Blue,1,$20.00
158,88,Wigmore,1,$10.00
158,91,Wookey Hole Cave Aged Cheddar,1,$15.00
160,94,Morbier,1,$12.00
160,96,Camembert Dom St. Loup,1,$15.00
160,100,St Maure de Touraine,1,$25.00
161,136,Wensleydale with Cranberries,1,$15.00
162,95,Gorgonzola Dolce,2,$24.00
162,96,Camembert Dom St. Loup,2,$30.00
163,86,Cornish Yarg,1,$20.00
164,81,Keen's Cheddar,1,$17.50
164,83,Colston Basset Shropshire,1,$17.50
164,88,Wigmore,1,$12.00
164,90,Brie de Meaux Dongé,1,$16.00
164,96,Camembert Dom St. Loup,1,$22.00
164,97,Von Mühlenen Premier Cru Gruyère,1,$25.00
164,98,Comté Marcel Petite,1,$20.00
167,113,Chive Crackers,2,$14.00
167,123,Fig and Fennel Paste,1,$9.00
167,125,Fine Cheese Co. Cheddar (200g),1,$10.00
168,90,Brie de Meaux Dongé,1,$8.00
168,93,Baronet,1,$5.00
169,100,St Maure de Touraine,1,$20.00
170,108,Fine English Bath Ovals,1,$5.00
170,129,Mondovino Crème Fraîche & Spring Onion Cracker,1,$5.00
170,162,Reblochon Fermier,1,$12.00
170,166,Magnifique!,1,$75.00
171,90,Brie de Meaux Dongé,1,$12.00
171,93,Baronet,1,$10.00
171,94,Morbier,1,$12.00
171,95,Gorgonzola Dolce,1,$15.00
171,96,Camembert Dom St. Loup,1,$17.00
172,82,Colston Bassett Stilton,1,$11.25
172,89,Dorstone Goat's Cheese,1,$20.00
172,91,Wookey Hole Cave Aged Cheddar,1,$9.50
172,97,Von Mühlenen Premier Cru Gruyère,1,$15.00
172,99,Parmesan Reggiano,1,$25.00
172,100,St Maure de Touraine,1,$20.00
172,113,Chive Crackers,5,$12.50
172,114,Basil Crackers,5,$12.50
172,171,Quince Paste Wholesale Pack 900g,1,$30.00
173,81,Keen's Cheddar,1,$13.00
173,85,Reypenaer V.S.O.P. Gouda,1,$20.00
173,91,Wookey Hole Cave Aged Cheddar,1,$11.00
173,93,Baronet,1,$5.00
173,94,Morbier,1,$12.00
174,85,Reypenaer V.S.O.P. Gouda,1,$20.00
174,91,Wookey Hole Cave Aged Cheddar,1,$11.00
174,96,Camembert Dom St. Loup,1,$17.00
174,98,Comté Marcel Petite,1,$15.00
174,122,Quince Paste,1,$7.00
174,127,Mondovino Black Olive Crackers,1,$5.00
174,129,Mondovino Crème Fraîche & Spring Onion Cracker,1,$5.00
174,130,Mondovino Moroccan Seed & Nut Crackers,1,$5.00
174,131,Mondovino Porcini Mushroom Crackers ,1,$5.00
174,164,Fine Cheese Co. Cheddar (400g),1,$14.00
175,91,Wookey Hole Cave Aged Cheddar,1,$11.00
175,98,Comté Marcel Petite,1,$15.00
175,160,Perl Las,1,$15.00
175,162,Reblochon Fermier,1,$6.00
176,140,Old Amsterdam Gouda,3,$42.00
179,85,Reypenaer V.S.O.P. Gouda,1,$20.00
179,91,Wookey Hole Cave Aged Cheddar,1,$11.00
179,99,Parmesan Reggiano,1,$25.00
180,91,Wookey Hole Cave Aged Cheddar,1,$11.00
180,161,Fourme D'Ambert Xavier Morin,1,$15.00
180,162,Reblochon Fermier,1,$12.00
180,173,Jindi Triple Cream Brie,1,$12.00
182,90,Brie de Meaux Dongé,1,$6.00
182,94,Morbier,1,$12.00
182,98,Comté Marcel Petite,1,$15.00
182,104,Olive Oil and Sea Salt Crackers,2,$10.00
182,162,Reblochon Fermier,1,$6.00
183,82,Colston Bassett Stilton,1,$22.50
183,89,Dorstone Goat's Cheese,1,$15.00
183,96,Camembert Dom St. Loup,1,$10.00
183,126,Pure Pearls of Goats' Cheese,2,$16.00
184,85,Reypenaer V.S.O.P. Gouda,1,$20.00
184,125,Fine Cheese Co. Cheddar (200g),4,$24.00
184,162,Reblochon Fermier,1,$12.00
186,98,Comté Marcel Petite,1,$15.00
186,180,Grana Padano,1,$15.00
187,162,Reblochon Fermier,1,$12.00
187,168,Redwood Smoked Cheddar,1,$7.50
187,177,Dambuster Mature Farmhouse Cheddar (200g),1,$9.00
187,179,Epoisses,2,$16.00
187,180,Grana Padano,1,$15.00
188,94,Morbier,1,$12.00
188,96,Camembert Dom St. Loup,1,$17.00
188,179,Epoisses,5,$40.00
189,96,Camembert Dom St. Loup,2,$26.00
189,100,St Maure de Touraine,4,$80.00
190,96,Camembert Dom St. Loup,2,$20.00
191,96,Camembert Dom St. Loup,1,$17.00
192,104,Olive Oil and Sea Salt Crackers,5,$21.90
192,108,Fine English Bath Ovals,5,$21.60
192,110,Lime & Chilli Exotic Fruit for Cheese,5,$37.50
192,111,Fig Fruit Purée for Cheese,3,$22.50
192,112,Gooseberry Fruit Purée for Cheese,5,$37.50
192,113,Chive Crackers,5,$21.90
192,114,Basil Crackers,5,$21.90
192,115,Red Hot Chilli Crackers,5,$21.90
192,121,Cabernet Paste,5,$24.75
192,122,Quince Paste,5,$24.75
192,123,Fig and Fennel Paste,5,$24.75
192,125,Fine Cheese Co. Cheddar (200g),5,$40.00
192,126,Pure Pearls of Goats' Cheese,5,$45.00
192,127,Mondovino Black Olive Crackers,5,$24.50
192,129,Mondovino Crème Fraîche & Spring Onion Cracker,5,$24.50
192,130,Mondovino Moroccan Seed & Nut Crackers,5,$24.50
192,164,Fine Cheese Co. Cheddar (400g),5,$80.00
192,175,Quince Paste for Cheese,5,$37.50
192,176,Damson Fruit Purée for Cheese,5,$37.50
192,177,Dambuster Mature Farmhouse Cheddar (200g),5,$45.00
193,0,Cornish Blue (200g),1,$13.00
193,0,Gruyere (200g),1,$15.00
193,0,Westcombe Cheddar (200g),1,$10.00
193,90,Brie de Meaux Dongé,1,$12.00
193,92,Tunworth,1,$20.00
193,119,Fig Crackers,1,$5.00
193,173,Jindi Triple Cream Brie,1,$12.00
194,79,Waterloo,1,$10.00
194,83,Colston Basset Shropshire,1,$13.00
194,88,Wigmore,1,$12.00
194,90,Brie de Meaux Dongé,1,$12.00
195,173,Jindi Triple Cream Brie,1,$6.00
195,176,Damson Fruit Purée for Cheese,1,$9.00
196,167,Chilli and Lime Cheddar,1,$10.00
196,168,Redwood Smoked Cheddar,1,$7.50
196,169,Manor Farm Mature Cheddar,1,$16.50
196,177,Dambuster Mature Farmhouse Cheddar (200g),1,$9.00
197,84,Cornish Blue,1,$15.00
197,88,Wigmore,1,$6.00
197,96,Camembert de Normandie (AOC),1,$17.00
197,97,Von Mühlenen Premier Cru Gruyère,1,$18.00
197,115,Red Hot Chilli Crackers,1,$5.00
197,129,Mondovino Crème Fraîche & Spring Onion Cracker,1,$5.00
197,179,Epoisses AOC (cutting cheese 800g),1,$8.00
198,85,Reypenaer V.S.O.P. Gouda,1,$20.00
198,175,Quince Paste for Cheese,1,$9.00
199,81,Keen's Cheddar,1,$10.00
199,84,Cornish Blue,1,$10.00
199,160,Perl Las,1,$10.00
200,85,Reypenaer V.S.O.P. Gouda,1,$20.00
200,94,Morbier,1,$12.00
200,177,Dambuster Mature Farmhouse Cheddar (200g),1,$9.00
