date,year,monthly_wet_bulb_temperature,temp_mean_daily_min,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_relative_humidity,mean_sea_level_RLR
1982-03-01,1982,24.811559139784944,24.3,61.7,11.0,160.8,5.1,82.3,6966.0
1982-04-01,1982,25.10375,24.3,45.1,14.0,157.0,4.7,85.9,6996.0
1982-05-01,1982,25.689650537634407,25.2,33.0,10.0,102.2,5.8,83.2,6966.0
1982-06-01,1982,25.729305555555552,26.0,20.6,8.0,59.5,7.3,80.3,6936.0
1982-07-01,1982,25.107258064516127,25.5,17.2,8.0,76.3,7.6,77.6,6946.0
1982-08-01,1982,25.02755376344086,25.0,57.7,11.0,169.5,5.4,80.4,6936.0
1982-09-01,1982,25.243055555555557,25.3,18.0,9.0,54.1,5.2,80.6,6956.0
1982-10-01,1982,24.90067204301075,24.3,10.0,10.0,39.3,5.6,81.5,7016.0
1983-01-01,1983,24.554973118279573,24.0,43.2,18.0,246.0,4.3,85.6,7056.0
1983-02-01,1983,24.97440476190476,24.8,5.1,2.0,5.6,9.3,78.0,6926.0
1983-04-01,1983,26.09347222222222,26.3,21.3,4.0,33.6,6.6,77.2,7006.0
1983-05-01,1983,25.95685483870968,25.2,32.3,11.0,160.8,5.9,83.2,7026.0
1983-06-01,1983,25.872500000000002,25.3,27.7,11.0,94.0,5.9,82.4,7016.0
1983-07-01,1983,25.422043010752688,24.9,55.5,18.0,190.0,5.4,83.7,7016.0
1983-08-01,1983,25.54959677419355,25.6,181.8,10.0,262.2,6.3,81.2,7016.0
1983-09-01,1983,25.13722222222222,24.6,50.3,18.0,170.8,3.8,84.4,6996.0
1983-10-01,1983,25.239247311827956,24.7,40.0,17.0,212.7,5.2,82.5,7056.0
1983-11-01,1983,24.687638888888888,24.0,54.8,18.0,228.8,3.2,85.2,7186.0
1983-12-01,1983,23.882526881720427,23.3,164.4,16.0,370.6,2.7,88.0,7146.0
1984-01-01,1984,23.667876344086025,22.9,62.3,18.0,251.2,4.1,85.8,7136.0
1984-02-01,1984,24.00991379310345,23.4,154.4,19.0,470.4,4.1,86.0,7086.0
1984-03-01,1984,24.6002688172043,23.8,119.4,19.0,361.3,5.3,85.4,7056.0
1984-04-01,1984,25.178472222222222,24.5,38.7,17.0,153.1,6.2,83.8,6996.0
1984-05-01,1984,25.15645161290323,24.5,46.0,12.0,186.5,6.4,84.1,7066.0
1984-06-01,1984,25.2575,24.7,121.1,14.0,255.0,5.4,83.1,7006.0
1984-07-01,1984,24.984274193548387,24.7,49.2,12.0,127.2,5.7,83.7,7016.0
