iter	RMSE
0	172.5937176
1	171.0681796
2	170.9819778
3	170.6696334
4	170.3638799
5	170.2645828
6	170.1659805
7	169.0974258
8	168.6731447
9	166.7452747
10	166.7379679
11	166.7050468
12	165.4086154
13	163.9135751
14	163.8937004
15	163.7273231
16	162.4379057
17	161.7612326
18	161.2568341
19	161.1257295
20	160.8016239
21	159.3095361
22	158.876961
23	158.7448839
24	158.6107304
25	158.3045066
26	157.6307917
27	157.5041992
28	156.9944376
29	156.9689765
30	156.6378236
31	156.0732236
32	155.8059627
33	155.7797041
34	155.6123286
35	155.3923562
36	154.8540838
37	154.6126654
38	154.2557033
39	154.0696173
40	154.0383934
41	153.368727
42	152.8786041
43	151.6264402
44	151.222287
45	150.8424426
46	149.8519269
47	148.8397316
48	148.6148976
49	148.1872369
50	147.9128604
51	147.277523
52	146.8171035
53	146.6624733
54	146.6260862
55	145.5057149
56	145.3963766
57	145.0752538
58	144.8424009
59	143.7770195
60	143.6680857
61	143.4369002
62	143.2022929
63	142.4712523
64	142.2432799
65	142.0621385
66	141.478458
67	140.5628307
68	140.3386285
69	139.8896368
70	139.696298
71	139.5159125
72	139.3850898
73	139.3033813
74	139.126875
75	139.0971629
76	138.6364576
77	138.2688456
78	137.3682255
79	137.077815
80	137.041786
81	136.9180523
82	136.4461618
83	136.401337
84	136.2140938
85	135.64428
86	135.5967417
87	135.5745263
88	135.3285502
89	134.9988123
90	134.8791429
91	134.3632204
92	134.0316739
93	133.8046103
94	133.4558863
95	133.1671642
96	132.5757845
97	132.3175157
98	131.7377166
99	131.4630348
100	131.18882
101	130.530659
102	130.4827289
103	130.2545505
104	129.7885449
105	129.1434536
106	128.8881504
107	128.6656994
108	128.4318858
109	128.1206628
110	127.3581186
111	127.2671599
112	127.0934964
113	127.0083451
114	126.7344907
115	126.4489534
116	126.2031189
117	126.1306135
118	125.5400312
119	125.3243487
120	125.1202676
121	124.6876594
122	124.0611745
123	123.7329199
124	123.3724881
125	122.9880703
126	122.6797466
127	122.5884023
128	122.5161801
129	122.3191369
130	122.1662108
131	122.0564806
132	121.8595072
133	121.2584698
134	120.9114722
135	120.6173132
136	120.3588295
137	119.9808423
138	119.925602
139	119.9149518
140	119.7213454
141	119.6283093
142	119.5738994
143	119.4158562
144	119.1922289
145	119.0054497
146	118.7103647
147	118.6439026
148	118.5740936
149	118.4030102
150	118.3638173
151	118.2940275
152	118.0733843
153	117.8227833
154	117.760443
155	117.3932233
156	116.8684929
157	116.6561659
158	116.5532129
159	116.2829127
160	116.0791405
161	115.9955374
162	115.7156831
163	115.403911
164	115.2803177
165	115.1118857
166	115.0529757
167	114.8409555
168	114.607782
169	114.4434502
170	114.1143577
171	114.0840899
172	113.8339174
173	113.7967425
174	113.3306566
175	113.1058228
176	112.8908198
177	112.4232787
178	112.3458709
179	112.2490849
180	112.1814052
181	112.1313412
182	112.0230638
183	111.895663
184	111.888839
185	111.8420474
186	111.6497561
187	111.5913528
188	111.5684321
189	111.4933627
190	111.366167
191	111.1726591
192	111.1447399
193	110.8372609
194	110.7480047
195	110.3736506
196	110.2553066
197	110.1682132
198	110.085016
199	109.9251712
200	109.5018493
201	109.4662148
202	109.3616486
203	109.2776768
204	109.1145588
205	109.0138068
206	108.8544815
207	108.8258159
208	108.6549916
209	108.2730129
210	108.2288131
211	108.1246726
212	108.1058511
213	107.8928307
214	107.4022962
215	107.3396471
216	107.0434133
217	106.9210509
218	106.4875132
219	106.1390775
220	105.8675583
221	105.6757124
222	105.3724506
223	105.197427
224	105.0638407
225	104.9777014
226	104.489345
227	104.3691893
228	104.3285771
229	104.1891452
230	103.8152513
231	103.6757581
232	103.649175
233	103.5872257
234	103.5300603
235	103.5163088
236	103.4379235
237	103.2531918
238	103.0321881
239	102.5878077
240	102.5486849
241	102.4265372
242	102.2787084
243	102.2260562
244	102.1497949
245	102.0251465
246	101.8675765
247	101.4966732
248	101.418859
249	101.3065675
250	101.1859623
251	101.1494591
252	100.6958637
253	100.3346139
254	100.0746851
255	99.97198508
256	99.76124298
257	99.59796323
258	99.49801726
259	99.39387049
260	99.25712187
261	99.04079597
262	98.63385995
263	98.53816155
264	98.33446396
265	98.22627835
266	98.03873233
267	97.88759489
268	97.73319882
269	97.50628123
270	97.39607717
271	97.26862613
272	96.95930154
273	96.77204113
274	96.67135878
275	96.39605825
276	96.27572171
277	96.12312111
278	95.97043018
279	95.80976372
280	95.6102439
281	95.35156037
282	95.05785638
283	94.4620016
284	94.22315608
285	93.81095553
286	93.69418154
287	93.48559773
288	92.71776121
289	92.56373841
290	92.47671716
291	92.35208197
292	92.23215582
293	91.87039175
294	91.72437586
295	91.51614934
296	91.18449822
297	91.04201919
298	90.50178745
299	90.41877299
300	90.30196903
301	90.07607425
302	89.93730117
303	89.90736901
304	89.5917431
305	89.42896845
306	89.32533594
307	89.07009082
308	88.924412
309	88.69700853
310	88.53522836
311	88.43773854
312	88.24575343
313	87.88410051
314	87.75771023
315	87.45273556
316	87.0954861
317	86.53800252
318	86.13190495
319	86.06853815
320	85.67687251
321	85.35059407
322	85.17593453
323	84.83439861
324	84.77062002
325	84.63258695
326	84.57986144
327	84.52306452
328	84.29492061
329	84.11418884
330	84.02339483
331	83.86099537
332	83.54844598
333	83.44675669
334	83.2285183
335	82.84570024
336	82.44171765
337	82.09246982
338	82.03802297
339	81.64158563
340	81.46401392
341	81.31430321
342	81.04686827
343	80.84604753
344	80.79338724
345	80.63741376
346	80.38970624
347	80.28476561
348	80.18876612
349	80.06426896
350	79.91264478
351	79.74063958
352	79.59194668
353	79.20754838
354	78.88222784
355	78.73068751
356	78.6091474
357	78.28067962
358	78.17124821
359	78.05364541
360	77.80273584
361	77.62344437
362	77.52366972
363	77.26918714
364	77.09861198
365	76.91153176
366	76.84598907
367	76.74338516
368	76.52920807
369	76.35525329
370	76.0329285
371	75.95633921
372	75.85483138
373	75.6989392
374	75.39348318
375	75.29713828
376	75.15771891
377	74.87893206
378	74.80678869
379	74.72713213
380	74.67387881
381	74.4007603
382	74.1282966
383	73.8626624
384	73.68331833
385	73.56709601
386	73.42171984
387	73.25483366
388	73.14362048
389	72.87625245
390	72.78026782
391	72.70655184
392	72.44869551
393	72.28744401
394	72.19679646
395	72.11277752
396	72.03754997
397	71.92055675
398	71.84594297
399	71.75990464
400	71.7090963
401	71.63971634
402	71.53348268
403	71.29593907
404	71.21967567
405	71.08684972
406	70.81894287
407	70.74463631
408	70.65549659
409	70.38097823
410	70.18861016
411	70.14650389
412	70.03440368
413	69.97207902
414	69.89603704
415	69.7137945
416	69.54862226
417	69.38972822
418	69.20238439
419	69.14408023
420	69.12972129
421	69.10088544
422	69.00594323
423	68.91629761
424	68.83400868
425	68.55924482
426	68.51098102
427	68.49788422
428	68.46741304
429	68.41095635
430	68.37717959
431	68.31517136
432	68.27575902
433	68.24629255
434	68.01114496
435	67.97830363
436	67.91893117
437	67.85922895
438	67.83633518
439	67.80255858
440	67.58454318
441	67.52780353
442	67.51540677
443	67.43571768
444	67.20473491
445	67.18886653
446	67.12056351
447	67.05815165
448	66.92870697
449	66.83913878
450	66.78679569
451	66.64494062
452	66.45608708
453	66.44239951
454	66.33252592
455	66.30287225
456	66.28957833
457	66.06794006
458	66.0529026
459	66.02167499
460	66.00641899
461	65.99179575
462	65.97708138
463	65.79167903
464	65.77608764
465	65.74715784
466	65.60410078
467	65.38538544
468	65.35360898
469	65.20550458
470	65.1365551
471	65.00678536
472	64.92286508
473	64.90998957
474	64.89674908
475	64.81736602
476	64.68320262
477	64.60115381
478	64.53643155
479	64.39421226
480	64.37178688
481	64.28637647
482	64.18696978
483	64.17462527
484	64.15239014
485	64.10028677
486	64.07451066
487	64.06051471
488	63.96236044
489	63.94704672
490	63.93290338
491	63.91884353
492	63.89664751
493	63.8040054
494	63.75348766
495	63.72528986
496	63.54709662
497	63.51591002
498	63.49867528
499	63.48177938
500	63.09582227
501	63.03450266
502	63.02371992
503	62.93631919
504	62.57897147
505	62.46038429
506	62.10720251
507	62.02361871
508	61.91146281
509	61.89446367
510	61.87340174
511	61.85462433
512	61.77436116
513	61.76144766
514	61.69409933
515	61.68338735
516	61.45423677
517	61.44237514
518	61.42004856
519	61.40378322
520	61.28994472
521	61.27378384
522	61.21074225
523	60.94893062
524	60.87059862
525	60.58289452
526	60.56684354
527	60.2070382
528	60.04279813
529	60.03206884
530	60.0121489
531	59.92029999
532	59.90575253
533	59.89045634
534	59.76697203
535	59.51367533
536	59.24416796
537	58.98649562
538	58.9051577
539	58.88750127
540	58.87106145
541	58.77348097
542	58.75638553
543	58.66117363
544	58.64691132
545	58.35289161
546	58.26558795
547	58.25115331
548	58.24305428
549	58.2109352
550	58.19368906
551	58.09417038
552	57.93800306
553	57.93005461
554	57.71579264
555	57.70086285
556	57.68715413
557	57.62404236
558	57.44484725
559	57.43468968
560	57.42610594
561	57.41258528
562	57.34275681
563	57.32625893
564	57.17687844
565	57.16597188
566	57.15173014
567	57.1386226
568	57.13146495
569	57.1219165
570	56.92830666
571	56.91873451
572	56.84261052
573	56.82681359
574	56.81756416
575	56.80814364
576	56.79543498
577	56.77550714
578	56.76297681
579	56.75043071
580	56.73731045
581	56.63571561
582	56.62227022
583	56.61192202
584	56.59977002
585	56.58304305
586	56.34928967
587	56.28181082
588	56.26906855
589	56.25474939
590	56.24451802
591	56.23349204
592	56.20435169
593	56.13783222
594	56.079891
595	56.06832503
596	55.85360069
597	55.81329995
598	55.80672421
599	55.67754292
600	55.58923962
601	55.48849798
602	55.37232051
603	55.3615854
604	55.35185113
605	55.34123533
606	55.33278007
607	55.32051147
608	55.23530396
609	55.11643651
610	55.0550092
611	54.84371158
612	54.82759871
613	54.81690858
614	54.80579625
615	54.799562
616	54.7891024
617	54.77827744
618	54.64389571
619	54.52588963
620	54.51316665
621	54.4503703
622	54.43935145
623	54.33425259
624	54.31346346
625	54.23682743
626	54.09110139
627	54.08207273
628	54.07072307
629	54.04068811
630	53.98681106
631	53.92363837
632	53.8727047
633	53.86342387
634	53.65412058
635	53.63868126
636	53.56071635
637	53.47842566
638	53.467885
639	53.46018604
640	53.4488575
641	53.39124083
642	53.33142517
643	53.15519424
644	53.06751314
645	52.96680242
646	52.87026126
647	52.77617417
648	52.76218773
649	52.7491393
650	52.74282806
651	52.73542087
652	52.72618189
653	52.52175504
654	52.51126092
655	52.3300396
656	52.22717012
657	52.04043459
658	52.02958176
659	52.02000114
660	52.01170475
661	51.94136407
662	51.89338566
663	51.7466322
664	51.71289737
665	51.51899927
666	51.40189656
667	51.34124027
668	51.18090843
669	51.17223623
670	51.05820917
671	51.04827539
672	50.96872129
673	50.87635569
674	50.72951837
675	50.65021024
676	50.53040169
677	50.50860658
678	50.46679665
679	50.2826221
680	50.27551987
681	50.13763083
682	50.0595125
683	50.0525887
684	50.04346615
685	50.03660306
686	50.02978893
687	49.9281351
688	49.88529982
689	49.87724938
690	49.86982121
691	49.8611132
692	49.85487581
693	49.78086702
694	49.77459602
695	49.66699747
696	49.59704869
697	49.39587626
698	49.38291815
699	49.31438648
700	49.30659448
701	49.21924491
702	49.2069257
703	49.1657746
704	49.15926265
705	49.15312995
706	49.14098912
707	49.07572504
708	49.03867704
709	49.0310842
