iter	Passed	Remaining
0	0	261
1	0	257
2	0	235
3	0	244
4	1	229
5	1	223
6	1	217
7	1	233
8	2	231
9	2	233
10	2	229
11	2	228
12	2	227
13	3	226
14	3	221
15	3	215
16	3	214
17	3	210
18	4	206
19	4	203
20	4	203
21	4	200
22	4	198
23	4	196
24	4	194
25	5	191
26	5	189
27	5	189
28	5	187
29	5	186
30	5	185
31	6	184
32	6	183
33	6	182
34	6	181
35	6	180
36	6	180
37	7	180
38	7	180
39	7	181
40	7	182
41	8	183
42	8	184
43	8	185
44	8	185
45	9	186
46	9	186
47	9	186
48	9	186
49	9	187
50	10	189
51	10	189
52	10	188
53	10	187
54	10	188
55	11	187
56	11	188
57	11	187
58	11	187
59	11	187
60	12	187
61	12	186
62	12	186
63	12	185
64	12	185
65	13	184
66	13	183
67	13	182
68	13	183
69	13	183
70	14	183
71	14	183
72	14	183
73	14	184
74	14	184
75	15	184
76	15	185
77	15	186
78	15	185
79	16	186
80	16	186
81	16	186
82	16	186
83	17	185
84	17	184
85	17	184
86	17	184
87	17	183
88	17	183
89	18	182
90	18	181
91	18	181
92	18	180
93	18	180
94	18	179
95	19	179
96	19	179
97	19	178
98	19	177
99	19	177
100	19	176
101	19	175
102	20	175
103	20	175
104	20	174
105	20	173
106	20	173
107	20	173
108	21	172
109	21	172
110	21	171
111	21	171
112	21	170
113	21	170
114	22	170
115	22	169
116	22	169
117	22	168
118	22	168
119	22	167
120	23	167
121	23	167
122	23	166
123	23	166
124	23	166
125	23	165
126	24	165
127	24	164
128	24	164
129	24	164
130	24	163
131	24	163
132	25	163
133	25	162
134	25	162
135	25	162
136	25	161
137	25	161
138	25	160
139	26	160
140	26	160
141	26	159
142	26	159
143	26	158
144	26	158
145	27	158
146	27	157
147	27	157
148	27	157
149	27	156
150	27	156
151	28	156
152	28	156
153	28	156
154	28	156
155	28	155
156	28	155
157	29	155
158	29	155
159	29	154
160	29	154
161	29	154
162	30	154
163	30	154
164	30	154
165	30	154
166	31	154
167	31	154
168	31	154
169	31	154
170	31	154
171	32	154
172	32	154
173	32	154
174	32	155
175	33	155
176	33	154
177	33	154
178	33	155
179	34	155
180	34	156
181	34	156
182	35	156
183	35	156
184	35	156
185	35	156
186	35	155
187	36	156
188	36	155
189	36	155
190	36	155
191	36	155
192	37	155
193	37	155
194	37	155
195	37	155
196	38	154
197	38	154
198	38	154
199	38	154
200	38	154
201	39	154
202	39	154
203	39	154
204	39	154
205	40	154
206	40	154
207	40	153
208	40	153
209	40	153
210	41	153
211	41	153
212	41	153
213	41	153
214	41	152
215	42	152
216	42	152
217	42	152
218	42	152
219	42	151
220	42	151
221	43	151
222	43	150
223	43	150
224	43	150
