,total_rainfall,mean_temperature,minimum_temperature,maximum_temperature,dengue_cases,interest,inbound,outbound
2012-M01,105.5,26.686666666666667,21.5,32.5,338,10,1198507,575380
2012-M02,83.6,27.137931034482758,22.7,32.9,258,9,1134554,528376
2012-M03,313.4,27.016129032258064,21.1,33.2,231,9,1243133,687345
2012-M04,260.6,27.613333333333333,21.9,32.9,363,9,1201953,618408
2012-M05,292.0,28.174193548387095,22.0,33.7,338,11,1146448,672397
2012-M06,53.0,28.703333333333333,22.8,32.7,468,11,1157739,785014
2012-M07,130.8,27.741935483870968,22.9,32.1,601,13,1283611,567318
2012-M08,119.0,27.958064516129035,23.1,32.7,436,10,1313604,573261
2012-M09,107.6,27.926666666666666,22.5,32.7,322,10,1051348,615076
2012-M10,122.2,27.73548387096774,23.5,33.1,520,11,1192580,660133
2012-M11,208.20000000000002,27.12,23.4,32.8,368,11,1212079,795232
2012-M12,363.4,26.693548387096776,22.2,32.2,389,9,1360536,969868
2013-M01,262.0,27.04516129032258,21.6,35.2,825,14,1291718,534554
2013-M02,395.2,26.532142857142855,21.5,32.5,1158,20,1221365,586868
2013-M03,85.8,28.29032258064516,23.9,33.8,1137,18,1368891,737164
2013-M04,159.4,28.209999999999997,22.1,34.9,2261,44,1274246,605614
2013-M05,211.4,28.200000000000003,22.9,33.9,2356,50,1288282,697209
2013-M06,111.39999999999999,28.973333333333336,22.6,34.5,3211,100,1288950,870655
2013-M07,174.6,27.770967741935483,22.9,33.5,2721,45,1419657,587318
2013-M08,165.6,27.89032258064516,21.6,32.8,1264,31,1483520,639716
2013-M09,257.0,27.540000000000003,21.9,32.9,1959,27,1176142,697010
2013-M10,285.40000000000003,27.712903225806453,20.9,33.2,1748,35,1203746,717544
2013-M11,292.4,27.146666666666665,22.9,32.9,1669,31,1184002,895821
2013-M12,348.2,26.47741935483871,21.2,33.7,1885,25,1367404,1077593
2014-M01,75.4,26.203225806451613,22.4,31.8,1653,26,1345842,626646
2014-M02,0.2,27.224999999999998,22.4,33.8,1071,24,1238239,572401
2014-M03,66.0,27.932258064516127,23.6,34.4,1057,18,1297551,757244
