month,mean_temperature,minimum_temperature,maximum_temperature,total_rainfall,dengue_cases,inbound,outbound
1,27.031708810938675,21.3,35.2,2078.9,10554,12937871,5948586
2,27.311262875055977,21.5,34.1,1130.4,9689,11288976,5587524
3,28.0950146627566,21.1,34.8,1263.6,9546,11535471,6956883
4,28.383333333333336,21.9,35.0,1857.3999999999999,11309,11257406,5993338
5,28.738123167155425,22.0,35.4,1908.0,16280,10979748,6619675
6,28.55484848484849,22.2,34.5,1496.2,21584,11123449,7756888
7,28.424046920821116,21.1,33.5,1456.6,23183,13173029,5663981
8,28.23343108504399,21.6,34.0,1606.6000000000001,19356,12819047,5971492
9,28.151818181818182,21.4,34.4,1397.7,13135,10611621,6604445
10,28.09882697947214,20.9,34.6,1864.0,10821,11338871,6764254
11,27.430909090909093,22.2,34.4,2539.0,9248,11189987,8361760
12,27.116422287390026,21.2,33.9,3105.2999999999997,9390,12965690,10476729
