,total_rainfall,mean_temperature,minimum_temperature,maximum_temperature,dengue_cases,interest,inbound,outbound
2012-W01,106.8,26.7625,22.2,31.4,74,8,239701,115076
2012-W02,25.8,26.228571428571428,22.1,32.3,66,8,239701,115076
2012-W03,28.0,26.914285714285715,22.9,32.5,61,6,239701,115076
2012-W04,8.600000000000001,26.599999999999998,23.5,31.6,52,10,239701,115076
2012-W05,55.7,26.485714285714288,21.5,31.6,85,7,239701,115076
2012-W06,1.6,27.5,24.4,32.3,87,5,283638,132094
2012-W07,38.2,26.67142857142857,22.7,31.9,65,6,283638,132094
2012-W08,3.2,27.7,24.8,32.6,51,9,283638,132094
2012-W09,26.4,27.142857142857142,23.8,33.2,55,6,283638,132094
2012-W10,52.6,26.928571428571427,21.1,31.5,46,5,310783,171836
2012-W11,125.4,26.642857142857142,22.7,32.1,64,5,310783,171836
2012-W12,7.0,27.514285714285712,24.6,32.4,73,7,310783,171836
2012-W13,127.0,27.17142857142857,22.9,32.8,48,9,310783,171836
2012-W14,30.799999999999997,27.228571428571428,21.9,31.7,52,8,240391,123682
2012-W15,154.4,27.2,23.3,31.9,82,6,240391,123682
2012-W16,45.4,27.542857142857144,23.9,32.7,77,5,240391,123682
2012-W17,2.5999999999999996,28.385714285714283,24.0,32.9,64,8,240391,123682
2012-W18,118.8,27.67142857142857,22.0,32.5,88,6,240391,123682
2012-W19,48.4,27.82857142857143,22.6,33.7,97,7,286612,168099
2012-W20,52.4,28.685714285714287,22.9,33.7,80,8,286612,168099
2012-W21,40.2,28.342857142857145,22.8,32.1,80,6,286612,168099
2012-W22,34.8,28.17142857142857,24.3,32.3,81,5,286612,168099
2012-W23,41.800000000000004,28.52857142857143,22.8,32.7,100,8,289435,196254
2012-W24,0.0,29.24285714285714,26.8,32.5,88,8,289435,196254
2012-W25,1.0,28.842857142857145,25.5,32.6,129,8,289435,196254
2012-W26,13.6,28.514285714285712,24.9,32.5,151,8,289435,196254
2012-W27,63.8,27.25714285714286,22.9,31.6,140,9,256722,113464
2012-W28,34.8,27.385714285714283,24.3,31.0,132,13,256722,113464
2012-W29,28.400000000000002,27.385714285714283,23.8,31.5,125,7,256722,113464
2012-W30,0.0,28.542857142857144,25.4,32.1,110,9,256722,113464
2012-W31,23.799999999999997,28.214285714285715,23.1,31.5,94,5,256722,113464
2012-W32,0.0,28.414285714285715,24.8,32.3,127,11,328401,143315
2012-W33,30.8,28.3,23.5,32.7,115,11,328401,143315
2012-W34,31.2,28.04285714285714,24.4,32.1,92,4,328401,143315
2012-W35,33.4,27.285714285714285,23.4,32.1,102,7,328401,143315
2012-W36,66.8,27.271428571428572,22.5,32.0,76,7,262837,153769
2012-W37,1.8,27.985714285714288,24.8,31.5,74,7,262837,153769
2012-W38,0.0,28.37142857142857,25.5,32.6,72,7,262837,153769
2012-W39,39.0,27.814285714285713,22.9,32.7,100,6,262837,153769
2012-W40,17.4,28.157142857142855,25.0,32.8,104,9,238516,132027
2012-W41,40.0,27.685714285714287,23.5,32.6,123,6,238516,132027
2012-W42,56.2,26.657142857142855,23.7,32.4,105,7,238516,132027
2012-W43,0.0,28.542857142857144,24.6,33.1,84,6,238516,132027
2012-W44,37.0,27.0,23.7,32.8,104,9,238516,132027
2012-W45,27.8,27.185714285714287,23.5,32.0,100,8,303020,198808
2012-W46,42.0,27.114285714285717,24.0,32.6,88,9,303020,198808
2012-W47,103.20000000000002,27.071428571428573,23.4,32.7,100,5,303020,198808
2012-W48,8.2,27.428571428571427,24.3,32.2,80,8,303020,198808
2012-W49,69.8,27.12857142857143,22.7,32.2,78,6,340134,242467
2012-W50,138.4,26.342857142857145,22.3,31.9,105,5,340134,242467
2012-W51,64.8,26.614285714285717,23.3,31.6,94,7,340134,242467
2012-W52,10.2,26.728571428571428,24.1,31.3,112,5,340134,242467
2013-W01,28.6,26.9625,23.1,32.5,134,10,322930,133638
2013-W02,93.80000000000001,27.285714285714285,21.6,35.2,205,10,322930,133638
2013-W03,148.0,26.414285714285715,22.6,32.0,219,13,322930,133638
2013-W04,7.3999999999999995,26.985714285714288,23.7,31.1,267,11,322930,133638
2013-W05,41.8,27.557142857142857,24.7,32.1,293,16,305341,146717
2013-W06,71.0,26.2,21.5,31.3,322,14,305341,146717
2013-W07,156.8,25.685714285714287,22.6,30.7,247,12,305341,146717
2013-W08,19.4,27.02857142857143,24.5,32.5,296,15,305341,146717
2013-W09,128.8,27.47142857142857,23.0,32.9,249,16,342223,184291
2013-W10,4.4,27.900000000000002,24.4,32.1,273,13,342223,184291
2013-W11,11.8,28.12857142857143,24.3,33.5,308,8,342223,184291
2013-W12,29.6,28.571428571428573,25.5,33.4,307,15,342223,184291
2013-W13,17.4,28.642857142857142,23.9,33.8,316,19,254849,121123
2013-W14,77.60000000000001,28.32857142857143,23.4,34.0,406,35,254849,121123
2013-W15,17.2,28.057142857142857,22.1,33.6,492,33,254849,121123
2013-W16,30.2,28.514285714285712,23.4,34.9,509,29,254849,121123
2013-W17,34.400000000000006,27.8,24.0,33.4,538,40,254849,121123
2013-W18,9.0,28.457142857142856,24.7,33.1,547,33,322070,174302
2013-W19,93.8,27.957142857142856,23.5,33.6,558,29,322070,174302
2013-W20,48.0,28.74285714285714,22.9,33.9,611,29,322070,174302
2013-W21,31.0,28.228571428571428,23.9,33.4,640,60,322070,174302
2013-W22,52.0,27.67142857142857,22.6,33.1,746,53,322238,217664
2013-W23,59.4,27.814285714285713,22.9,33.7,814,100,322238,217664
2013-W24,20.0,29.642857142857142,24.9,33.6,809,76,322238,217664
2013-W25,0.0,30.02857142857143,25.9,34.5,842,47,322238,217664
2013-W26,9.6,28.714285714285715,23.0,33.7,806,47,283931,117464
2013-W27,4.800000000000001,28.085714285714285,24.4,32.4,678,32,283931,117464
2013-W28,48.4,27.485714285714288,23.4,32.4,541,31,283931,117464
2013-W29,45.8,27.614285714285717,23.7,33.5,390,24,283931,117464
2013-W30,57.0,27.885714285714283,22.9,33.2,306,23,283931,117464
2013-W31,26.799999999999997,27.771428571428572,22.0,31.8,289,16,370880,159929
2013-W32,116.4,27.357142857142858,21.6,31.3,256,24,370880,159929
