week,mean_temperature,minimum_temperature,maximum_temperature,total_rainfall,dengue_cases,inbound,outbound
1,27.1325974025974,22.2,33.7,530.8,2414,3019493,1384171
2,26.89220779220779,21.3,35.2,536.1999999999999,2665,3019493,1384171
3,27.08051948051948,22.4,32.8,372.40000000000003,2634,3019493,1384171
4,27.094805194805193,22.7,33.1,172.6,2492,3019493,1384171
5,27.267532467532472,21.5,33.6,339.9,2311,2601568,1290595
6,27.036363636363635,21.5,34.1,217.6,2253,2755487,1362565
7,27.175324675324678,22.6,33.8,355.0,2424,2755487,1362565
8,27.53116883116883,21.9,33.7,220.79999999999998,2228,2755487,1362565
9,27.767532467532465,22.9,34.2,275.40000000000003,2119,2567511,1399922
10,27.95974025974026,21.1,34.7,159.4,2128,2745548,1650193
11,28.12987012987013,22.3,34.8,325.40000000000003,2184,2745548,1650193
12,28.244155844155845,23.0,34.5,251.6,2122,2745548,1650193
13,28.188311688311686,22.9,34.7,468.59999999999997,2231,2586353,1510998
14,28.22987012987013,21.9,35.0,442.6,2340,2533495,1357816
15,28.338961038961042,22.1,34.5,560.4,2565,2533495,1357816
16,28.681818181818183,23.1,34.9,285.0,2838,2533495,1357816
17,28.39220779220779,22.6,35.0,346.2,2985,2533495,1357816
18,28.536363636363635,22.0,34.6,412.0,2868,2482139,1447020
19,28.867532467532467,22.6,34.8,474.4,3602,2587233,1554597
20,28.736363636363638,22.8,34.3,562.2,3647,2587233,1554597
21,28.727272727272727,22.8,35.4,344.6,4335,2587233,1554597
22,28.625974025974028,22.6,34.5,449.8,4480,2469020,1621896
23,28.54155844155844,22.8,34.3,443.0,4728,2662445,1850541
24,28.641558441558445,23.0,33.6,272.40000000000003,4947,2662445,1850541
25,28.45974025974026,22.2,34.5,366.79999999999995,5214,2662445,1850541
26,28.592207792207795,23.0,33.7,229.6,5511,2596695,1636046
27,28.455844155844158,22.1,33.2,296.4,5658,2899712,1251137
28,28.141558441558445,21.9,33.4,454.2,5398,2899712,1251137
29,28.41948051948052,22.2,33.5,353.6,5403,2899712,1251137
30,28.685714285714287,22.9,33.4,240.0,5216,2899712,1251137
31,28.341558441558444,21.1,33.4,246.2,4358,2811463,1275012
32,28.387012987012987,21.6,33.2,338.2,4612,3020737,1402158
33,28.276623376623377,21.7,33.3,459.8,4097,3020737,1402158
34,28.21948051948052,22.5,34.0,323.8,3946,3020737,1402158
35,27.953246753246752,21.4,33.2,407.2,3715,2622759,1336065
36,27.944155844155844,21.8,33.8,462.4,3338,2465989,1538152
37,28.10909090909091,22.3,33.8,223.6,3014,2465989,1538152
38,28.3,21.9,33.9,293.1,2908,2465989,1538152
39,28.212987012987014,21.9,34.4,415.0,2708,2465989,1538152
40,28.08961038961039,21.6,34.5,332.4,2699,2528881,1510786
41,28.30519480519481,22.5,34.6,436.2,2491,2528881,1510786
42,28.24415584415584,20.9,34.6,474.0,2513,2528881,1510786
43,27.933766233766235,22.2,34.6,367.6,2473,2528881,1510786
44,27.58051948051948,21.9,34.1,511.6,2362,2440813,1639832
45,27.37142857142857,22.8,33.7,776.6,2134,2734500,2038318
46,27.484415584415583,22.2,34.4,576.6,2243,2734500,2038318
47,27.44025974025974,22.8,34.0,421.20000000000005,2013,2734500,2038318
48,27.422077922077925,22.8,33.9,519.0,1970,2659606,2014467
49,27.22207792207792,22.4,33.6,759.8,2103,3018776,2447585
50,26.987012987012985,21.6,33.6,1143.0,2060,3018776,2447585
51,27.06103896103896,21.2,33.7,527.9,2086,3018776,2447585
52,27.125974025974028,22.8,33.8,929.6,2312,3018776,2447585
